index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
1208	located_on_h3_cell	https://www.openstreetmap.org/way/305905246	osmplace	891e3490473ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1209	located_on_h3_cell	891e3490417ffff	h3place	https://www.openstreetmap.org/way/293202626	osmplace	False	6.0	Environment_NEG_geological around (Chemnitz) radius=15.0	
1210	hasOSMTag	industrial	osmtag	891f1a2f127ffff	h3place	False		Environment_NEG_geological around (Chemnitz) radius=15.0	1.0
1211	located_on_h3_cell	891e3492683ffff	h3place	https://www.openstreetmap.org/way/256056190	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1212	hasOSMTag	891f1a2c273ffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	3.0
1213	located_on_h3_cell	891f1a2c1cfffff	h3place	https://www.openstreetmap.org/way/362392673	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1214	located_on_h3_cell	891f1a2c20fffff	h3place	https://www.openstreetmap.org/way/362392632	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1215	hasOSMTag	891f1a2c1cfffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	1.0
1216	located_on_h3_cell	https://www.openstreetmap.org/way/323696125	osmplace	891e3497427ffff	h3place	False	6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0	
1217	hasOSMTag	industrial	osmtag	891f1a2c293ffff	h3place	False		Environment_NEG_geological around (Chemnitz) radius=15.0	1.0
1218	located_on_h3_cell	891f1a2c267ffff	h3place	https://www.openstreetmap.org/way/386123702	osmplace	False	6.0	Environment_NEG_geological around (Chemnitz) radius=15.0	
1219	located_on_h3_cell	891e34925cfffff	h3place	https://www.openstreetmap.org/way/523397303	osmplace	False	6.0	Environment_NEG_geological around (Chemnitz) radius=15.0	
1220	located_on_h3_cell	891e3493563ffff	h3place	https://www.openstreetmap.org/node/8572272457	osmplace	False	6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0	
1221	located_on_h3_cell	https://www.openstreetmap.org/way/414934548	osmplace	891e349234bffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1222	hasOSMTag	primary	osmtag	891e34902b7ffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	2.0
1223	hasOSMTag	891e3492427ffff	h3place	industrial	osmtag	False		Environment_NEG_geological around (Chemnitz) radius=15.0	1.0
1224	located_on_h3_cell	https://www.openstreetmap.org/way/219105286	osmplace	891e3490053ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1225	located_on_h3_cell	891f1a2c273ffff	h3place	https://www.openstreetmap.org/way/318423767	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1226	hasOSMTag	891e3490043ffff	h3place	erotic	osmtag	False		Lifestyle_NEG_shop around (Chemnitz) radius=15.0	1.0
1227	located_on_h3_cell	891f1a2d223ffff	h3place	https://www.openstreetmap.org/way/361274560	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1228	located_on_h3_cell	https://www.openstreetmap.org/way/247045257	osmplace	891e3490aabffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1229	located_on_h3_cell	https://www.openstreetmap.org/node/5226320441	osmplace	891e34905afffff	h3place	False	6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0	
1230	located_on_h3_cell	891e3492a53ffff	h3place	https://www.openstreetmap.org/way/259085958	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1231	located_on_h3_cell	891e3490e53ffff	h3place	https://www.openstreetmap.org/way/695836949	osmplace	False	6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0	
1232	located_on_h3_cell	https://www.openstreetmap.org/way/257575885	osmplace	891e3490193ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1233	hasOSMTag	891f1a2c207ffff	h3place	industrial	osmtag	False		Environment_NEG_geological around (Chemnitz) radius=15.0	1.0
1234	located_on_h3_cell	891e3492363ffff	h3place	https://www.openstreetmap.org/way/413986990	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1235	hasOSMTag	891e3490e53ffff	h3place	fast_food	osmtag	False		Lifestyle_NEG_shop around (Chemnitz) radius=15.0	1.0
1236	located_on_h3_cell	891f1a29e57ffff	h3place	https://www.openstreetmap.org/way/301720588	osmplace	False	6.0	Environment_NEG_geological around (Chemnitz) radius=15.0	
1237	hasOSMTag	891f1a2dbcbffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	4.0
1238	hasOSMTag	891e34925dbffff	h3place	helipad	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	1.0
1239	located_on_h3_cell	891e3490483ffff	h3place	https://www.openstreetmap.org/node/939522109	osmplace	False	6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0	
1240	located_on_h3_cell	891f1a2db4fffff	h3place	https://www.openstreetmap.org/way/505376420	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1241	located_on_h3_cell	891e349210fffff	h3place	https://www.openstreetmap.org/way/361277189	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1242	hasOSMTag	primary	osmtag	891e3490493ffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	4.0
1243	hasOSMTag	891e349318fffff	h3place	industrial	osmtag	False		Environment_NEG_geological around (Chemnitz) radius=15.0	1.0
1244	hasOSMTag	891e3490483ffff	h3place	fast_food	osmtag	False		Lifestyle_NEG_shop around (Chemnitz) radius=15.0	2.0
1245	hasOSMTag	891f1a2d02fffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	6.0
1246	located_on_h3_cell	891e349012bffff	h3place	https://www.openstreetmap.org/way/247055407	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1247	located_on_h3_cell	891e349214bffff	h3place	https://www.openstreetmap.org/way/4044021	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
