index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
39	located_on_h3_cell	https://www.openstreetmap.org/way/771150653	osmplace	891f1a6243bffff	h3place	False		6.0	Leisure_POS_amenity around (Zwickau) radius=15.0
40	located_on_h3_cell	891f1a6f383ffff	h3place	https://www.openstreetmap.org/relation/12621608	osmplace	False		6.0	Transport_POS_amenity around (Zwickau) radius=15.0
41	located_on_h3_cell	https://www.openstreetmap.org/way/257414495	osmplace	891f1a6f1abffff	h3place	False		6.0	Leisure_POS_amenity around (Zwickau) radius=15.0
42	located_on_h3_cell	https://www.openstreetmap.org/relation/11828134	osmplace	891f1a61d07ffff	h3place	False		6.0	Transport_POS_amenity around (Zwickau) radius=15.0
43	located_on_h3_cell	https://www.openstreetmap.org/way/289543096	osmplace	891f1a61b87ffff	h3place	False		6.0	Leisure_POS_amenity around (Zwickau) radius=15.0
44	located_on_h3_cell	https://www.openstreetmap.org/way/562776476	osmplace	891f1a618b7ffff	h3place	False		6.0	Lifestyle_POS_amenity around (Zwickau) radius=15.0
45	located_on_h3_cell	https://www.openstreetmap.org/way/397092307	osmplace	891f1a618afffff	h3place	False		6.0	Lifestyle_POS_amenity around (Zwickau) radius=15.0
46	located_on_h3_cell	https://www.openstreetmap.org/way/352292075	osmplace	891f1a62657ffff	h3place	False		6.0	Leisure_POS_amenity around (Zwickau) radius=15.0
47	located_on_h3_cell	https://www.openstreetmap.org/way/569349873	osmplace	891f1a62a5bffff	h3place	False		6.0	Lifestyle_POS_amenity around (Zwickau) radius=15.0
48	located_on_h3_cell	https://www.openstreetmap.org/node/263521887	osmplace	891f1a6f56fffff	h3place	False		6.0	Transport_POS_amenity around (Zwickau) radius=15.0
49	located_on_h3_cell	https://www.openstreetmap.org/relation/11167967	osmplace	891f1a6126bffff	h3place	False		6.0	Transport_POS_amenity around (Zwickau) radius=15.0
50	located_on_h3_cell	https://www.openstreetmap.org/relation/10054716	osmplace	891f1a689cbffff	h3place	False		6.0	Transport_POS_amenity around (Zwickau) radius=15.0
51	hasOSMTag	stop_area	osmtag	891f1a6e06bffff	h3place	False	1.0		Transport_POS_amenity around (Zwickau) radius=15.0
52	located_on_h3_cell	https://www.openstreetmap.org/relation/10054741	osmplace	891f1a688a7ffff	h3place	False		6.0	Transport_POS_amenity around (Zwickau) radius=15.0
