index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
736	hasOSMTag	golf	osmtag	891f038680fffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
737	hasOSMTag	golf	osmtag	891f03868c3ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
738	hasOSMTag	golf	osmtag	891f0386857ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
739	hasOSMTag	golf	osmtag	891f0386ea7ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
740	hasOSMTag	golf	osmtag	891f03868c7ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
741	hasOSMTag	golf	osmtag	891f03b2a0bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	4.0
742	hasOSMTag	pitch	osmtag	891f03876abffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
743	located_on_h3_cell	891f0386383ffff	h3place	https://www.openstreetmap.org/node/1994142264	osmplace	False	6.0	Lifestyle_POS_amenity around (Stralsund) radius=15.0	
744	hasOSMTag	equestrian	osmtag	891f03b1c2fffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
745	hasOSMTag	playground	osmtag	891f038707bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
746	hasOSMTag	pitch	osmtag	891f038680bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	4.0
747	located_on_h3_cell	https://www.openstreetmap.org/node/333256891	osmplace	891f014d63bffff	h3place	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
748	hasOSMTag	equestrian	osmtag	891f03b2447ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
749	located_on_h3_cell	https://www.openstreetmap.org/way/74685161	osmplace	891f03b8413ffff	h3place	False	6.0	Services_POS_amenity around (Stralsund) radius=15.0	
750	hasOSMTag	playground	osmtag	891f03b08dbffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
751	hasOSMTag	kindergarten	osmtag	891f03b0eafffff	h3place	False		Services_POS_amenity around (Stralsund) radius=15.0	1.0
752	hasOSMTag	place_of_worship	osmtag	891f03b1147ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
753	hasOSMTag	school	osmtag	891f03b0c13ffff	h3place	False		Services_POS_amenity around (Stralsund) radius=15.0	1.0
754	located_on_h3_cell	https://www.openstreetmap.org/way/694091170	osmplace	891f03868c3ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
755	located_on_h3_cell	https://www.openstreetmap.org/node/2021945521	osmplace	891f0386377ffff	h3place	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
756	hasOSMTag	nature_reserve	osmtag	891f03b28c3ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
757	hasOSMTag	nature_reserve	osmtag	891f0148ebbffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
758	hasOSMTag	place_of_worship	osmtag	891f03bb3cfffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
759	located_on_h3_cell	https://www.openstreetmap.org/way/378164882	osmplace	891f03baba7ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
760	hasOSMTag	nature_reserve	osmtag	891f014b023ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
761	hasOSMTag	playground	osmtag	891f038616bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
762	hasOSMTag	long_jump	osmtag	891f0386163ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
763	hasOSMTag	cafe	osmtag	891f03863afffff	h3place	False		Lifestyle_POS_amenity around (Stralsund) radius=15.0	1.0
764	located_on_h3_cell	https://www.openstreetmap.org/way/242403092	osmplace	891f0386817ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
765	hasOSMTag	891f0386a13ffff	h3place	platform	osmtag	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
766	located_on_h3_cell	https://www.openstreetmap.org/way/694091173	osmplace	891f0386ea7ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
767	hasOSMTag	cafe	osmtag	891f03863b7ffff	h3place	False		Lifestyle_POS_amenity around (Stralsund) radius=15.0	1.0
768	hasOSMTag	roofer	osmtag	891f0387607ffff	h3place	False		Lifestyle_POS_amenity around (Stralsund) radius=15.0	1.0
769	hasOSMTag	soccer	osmtag	891f0385133ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
770	located_on_h3_cell	https://www.openstreetmap.org/way/456981706	osmplace	891f038617bffff	h3place	False	6.0	Services_POS_amenity around (Stralsund) radius=15.0	
771	hasOSMTag	pitch	osmtag	891f0386803ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	5.0
772	hasOSMTag	891f0386823ffff	h3place	pitch	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	6.0
773	hasOSMTag	place_of_worship	osmtag	891f03b2433ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
774	located_on_h3_cell	891f0386ea7ffff	h3place	https://www.openstreetmap.org/way/694091174	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
775	located_on_h3_cell	https://www.openstreetmap.org/way/379721968	osmplace	891f0384903ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
776	located_on_h3_cell	https://www.openstreetmap.org/way/188211115	osmplace	891f0386303ffff	h3place	False	6.0	Services_POS_amenity around (Stralsund) radius=15.0	
777	hasOSMTag	track	osmtag	891f038639bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
778	located_on_h3_cell	891f03868bbffff	h3place	https://www.openstreetmap.org/way/242372527	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
779	hasOSMTag	golf	osmtag	891f038680bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	3.0
