index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
871	located_on_h3_cell	https://www.openstreetmap.org/way/589966898	osmplace	891f02b125bffff	h3place	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
872	located_on_h3_cell	https://www.openstreetmap.org/way/136516553	osmplace	891f02843dbffff	h3place	False	6.0	Lifestyle_POS_amenity around (Wismar) radius=15.0	
873	located_on_h3_cell	891f02b2a57ffff	h3place	https://www.openstreetmap.org/way/366437865	osmplace	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
874	located_on_h3_cell	891f02baa0bffff	h3place	https://www.openstreetmap.org/way/880986381	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
875	located_on_h3_cell	891f02842bbffff	h3place	https://www.openstreetmap.org/way/173694905	osmplace	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
876	located_on_h3_cell	891f02b3593ffff	h3place	https://www.openstreetmap.org/way/881148363	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
877	located_on_h3_cell	891f0284c43ffff	h3place	https://www.openstreetmap.org/way/320898873	osmplace	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
878	hasOSMTag	891f02b91d7ffff	h3place	platform	osmtag	False		Transport_POS_amenity around (Wismar) radius=15.0	2.0
879	located_on_h3_cell	https://www.openstreetmap.org/way/925183443	osmplace	891f02b2e53ffff	h3place	False	6.0	Services_POS_amenity around (Wismar) radius=15.0	
880	located_on_h3_cell	https://www.openstreetmap.org/way/271739260	osmplace	891f02b8a63ffff	h3place	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
881	located_on_h3_cell	https://www.openstreetmap.org/way/432349497	osmplace	891f02bac17ffff	h3place	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
882	hasOSMTag	891f02bac43ffff	h3place	track	osmtag	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
883	located_on_h3_cell	891f02b0607ffff	h3place	https://www.openstreetmap.org/relation/11980986	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
884	hasOSMTag	891f02bac43ffff	h3place	pitch	osmtag	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
885	located_on_h3_cell	https://www.openstreetmap.org/relation/11975120	osmplace	891f02a018bffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
886	located_on_h3_cell	891f0049b2fffff	h3place	https://www.openstreetmap.org/way/280407944	osmplace	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
887	hasOSMTag	platform	osmtag	891f02ba4bbffff	h3place	False		Transport_POS_amenity around (Wismar) radius=15.0	2.0
888	located_on_h3_cell	891f02843c3ffff	h3place	https://www.openstreetmap.org/way/702317155	osmplace	False	6.0	Lifestyle_POS_amenity around (Wismar) radius=15.0	
889	hasOSMTag	platform	osmtag	891f02a0607ffff	h3place	False		Transport_POS_amenity around (Wismar) radius=15.0	2.0
890	hasOSMTag	cafe	osmtag	891f02bacafffff	h3place	False		Lifestyle_POS_amenity around (Wismar) radius=15.0	1.0
891	located_on_h3_cell	https://www.openstreetmap.org/node/4331564179	osmplace	891f02bac33ffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
892	hasOSMTag	platform	osmtag	891f02ba187ffff	h3place	False		Transport_POS_amenity around (Wismar) radius=15.0	1.0
893	located_on_h3_cell	891f02aa0c3ffff	h3place	https://www.openstreetmap.org/way/447154948	osmplace	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
894	hasOSMTag	891f02843c3ffff	h3place	cafe	osmtag	False		Lifestyle_POS_amenity around (Wismar) radius=15.0	1.0
895	located_on_h3_cell	https://www.openstreetmap.org/way/880090077	osmplace	891f02ba197ffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
896	located_on_h3_cell	https://www.openstreetmap.org/way/316394779	osmplace	891f02ba107ffff	h3place	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
897	located_on_h3_cell	https://www.openstreetmap.org/way/429245305	osmplace	891f02aa653ffff	h3place	False	6.0	Lifestyle_POS_amenity around (Wismar) radius=15.0	
898	located_on_h3_cell	https://www.openstreetmap.org/relation/11948215	osmplace	891f02bb403ffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
899	hasOSMTag	891f02bad23ffff	h3place	platform	osmtag	False		Transport_POS_amenity around (Wismar) radius=15.0	3.0
900	located_on_h3_cell	https://www.openstreetmap.org/way/880685145	osmplace	891f02bad1bffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
901	hasOSMTag	891f02a312bffff	h3place	stop_area	osmtag	False		Transport_POS_amenity around (Wismar) radius=15.0	1.0
902	hasOSMTag	891f02bac77ffff	h3place	stop_area	osmtag	False		Transport_POS_amenity around (Wismar) radius=15.0	1.0
