index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
137	located_on_h3_cell	https://www.openstreetmap.org/way/315967090	osmplace	891f02ba5cbffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
138	located_on_h3_cell	https://www.openstreetmap.org/way/315967085	osmplace	891f02ba5cbffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
139	hasOSMTag	891f02b0817ffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
140	located_on_h3_cell	https://www.openstreetmap.org/way/315976217	osmplace	891f02ba50bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
141	located_on_h3_cell	https://www.openstreetmap.org/way/858740032	osmplace	891f02bae3bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
142	located_on_h3_cell	https://www.openstreetmap.org/way/346496711	osmplace	891f02a332fffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
143	located_on_h3_cell	891f02b19afffff	h3place	https://www.openstreetmap.org/way/884321303	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
144	hasOSMTag	trunk	osmtag	891f02ba573ffff	h3place	False	2.0		Transport_NEG_aeroway around (Wismar) radius=15.0
145	located_on_h3_cell	https://www.openstreetmap.org/way/383596324	osmplace	891f02b1107ffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
146	located_on_h3_cell	891f02b0aa7ffff	h3place	https://www.openstreetmap.org/way/316094136	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
147	located_on_h3_cell	https://www.openstreetmap.org/way/882173337	osmplace	891f02b91dbffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
148	hasOSMTag	industrial	osmtag	891f02b184bffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
149	located_on_h3_cell	https://www.openstreetmap.org/way/355648468	osmplace	891f02a3547ffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
150	hasOSMTag	industrial	osmtag	891f02b0203ffff	h3place	False	2.0		Environment_NEG_geological around (Wismar) radius=15.0
151	hasOSMTag	industrial	osmtag	891f02b18cbffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
152	hasOSMTag	industrial	osmtag	891f02b1a23ffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
153	located_on_h3_cell	https://www.openstreetmap.org/way/315967084	osmplace	891f02ba437ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
154	located_on_h3_cell	891f02ba50bffff	h3place	https://www.openstreetmap.org/way/315976220	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
155	located_on_h3_cell	https://www.openstreetmap.org/way/315967088	osmplace	891f02ba5cfffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
156	located_on_h3_cell	-	osmplace	89754e64993ffff	h3place	False		6.0	Services_NEG_amenity around (Wismar) radius=15.0
157	hasOSMTag	industrial	osmtag	891f02aacd3ffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
158	hasOSMTag	industrial	osmtag	891f02a332fffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
159	located_on_h3_cell	https://www.openstreetmap.org/way/316091159	osmplace	891f02b1a3bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
160	hasOSMTag	industrial	osmtag	891f02baec3ffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
161	hasOSMTag	891f02b91d3ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
162	hasOSMTag	trunk	osmtag	891f02b1a0fffff	h3place	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
163	hasOSMTag	apron	osmtag	891f02b1e8bffff	h3place	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
164	located_on_h3_cell	https://www.openstreetmap.org/way/381739289	osmplace	891f02bae2bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
165	hasOSMTag	industrial	osmtag	891f02b058bffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
166	hasOSMTag	industrial	osmtag	891f02a111bffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
167	hasOSMTag	industrial	osmtag	891f02b113bffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
168	hasOSMTag	industrial	osmtag	891f02a308fffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
169	hasOSMTag	trunk	osmtag	891f02ba50bffff	h3place	False	2.0		Transport_NEG_aeroway around (Wismar) radius=15.0
170	hasOSMTag	industrial	osmtag	891f02b0bd3ffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
171	hasOSMTag	industrial	osmtag	891f02b0817ffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
172	hasOSMTag	industrial	osmtag	891f02b13d7ffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
173	located_on_h3_cell	891f02b0d57ffff	h3place	https://www.openstreetmap.org/way/316094780	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
174	hasOSMTag	industrial	osmtag	891f02a349bffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
175	hasOSMTag	industrial	osmtag	891f02b1107ffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
176	located_on_h3_cell	https://www.openstreetmap.org/way/316091171	osmplace	891f02b1a77ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
177	hasOSMTag	industrial	osmtag	891f02b1a4bffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
178	hasOSMTag	industrial	osmtag	891f02baca3ffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
179	hasOSMTag	industrial	osmtag	891f02b85afffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
180	located_on_h3_cell	https://www.openstreetmap.org/way/321349790	osmplace	891f02b850bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
181	located_on_h3_cell	https://www.openstreetmap.org/way/315976215	osmplace	891f02ba50bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
182	hasOSMTag	industrial	osmtag	891f02a0507ffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
183	hasOSMTag	891f02bae3bffff	h3place	trunk	osmtag	False	3.0		Transport_NEG_aeroway around (Wismar) radius=15.0
184	hasOSMTag	quarry	osmtag	891f02a26afffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
185	hasOSMTag	trunk	osmtag	891f02ba173ffff	h3place	False	2.0		Transport_NEG_aeroway around (Wismar) radius=15.0
186	hasOSMTag	industrial	osmtag	891f02b133bffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
187	located_on_h3_cell	891f02b8093ffff	h3place	https://www.openstreetmap.org/way/338042399	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
188	located_on_h3_cell	https://www.openstreetmap.org/way/321539689	osmplace	891f02bb5cbffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
189	hasOSMTag	891f02b184bffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
190	located_on_h3_cell	891f028e9d7ffff	h3place	https://www.openstreetmap.org/way/395596918	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
191	hasOSMTag	quarry	osmtag	891f02a124bffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
