	0	1
250	891f1a2da27ffff	4
251	891e34923c7ffff	3
252	891e34d69dbffff	4
253	891e34d75c3ffff	6
254	891e34905a7ffff	4
255	891f1a6d96fffff	3
256	891e3492adbffff	3
257	891f1a6299bffff	3
258	891f1a6d1d3ffff	4
259	891e34d54d7ffff	1
260	891f1a66aafffff	3
261	891f1a65b83ffff	4
262	891f1a28523ffff	2
263	891f1a2d523ffff	2
264	891f1a2c2afffff	2
265	891f1a2d253ffff	6
266	891e3490493ffff	0
267	891e34926bbffff	7
268	891f1a62903ffff	4
269	891e3493127ffff	3
270	891e34d690fffff	4
271	891f1a6858fffff	2
272	891f1a61837ffff	2
273	891f1a6714bffff	2
274	891e34921a3ffff	2
275	891f1a2c1cfffff	2
276	891f02b358bffff	2
277	891f1a6db27ffff	2
278	891f1a6147bffff	4
279	891e34d4927ffff	4
280	891e34905c7ffff	3
281	891e34920cbffff	2
282	891f1a75673ffff	2
283	891f1a66d47ffff	4
284	891f1a618afffff	0
285	891e3490183ffff	2
286	891f1a29d43ffff	2
287	dog_park	2
288	891e3492e6bffff	3
289	891f02a02bbffff	2
290	891f1a68d63ffff	0
291	891e3492163ffff	4
292	891e34d753bffff	3
293	891f1a2f4a7ffff	2
294	891f1a2933bffff	2
295	891f1a2dac7ffff	0
296	891f1a6554fffff	4
297	891f02bac37ffff	2
298	891f1a2c097ffff	2
299	891f1a67387ffff	7
300	891e3490417ffff	1
301	891f1a2c3cfffff	2
302	891f1a60d4fffff	1
303	891e34d0c8bffff	2
304	891e3493423ffff	4
305	891f1a6598bffff	4
306	891f1a61b87ffff	4
307	891e349a28bffff	3
308	891f1a29303ffff	4
309	891f1a66177ffff	7
310	891f1a2ab0bffff	2
311	891e3490557ffff	4
312	891e349664bffff	2
313	891f1a68333ffff	2
314	891e3492bcbffff	4
315	891e3491513ffff	2
316	891e34d65b3ffff	2
317	891f1a6453bffff	3
318	891e34d614bffff	3
319	891e34905d7ffff	2
320	891f1a2931bffff	2
321	891e34936c7ffff	7
322	891f1a64527ffff	2
323	891f1a6f183ffff	2
324	891f1a62657ffff	3
325	metal_construction	2
326	891f1a6046bffff	4
327	891f1a2db0bffff	3
328	891e3490497ffff	2
329	891e349234fffff	3
330	891e348324bffff	4
331	891f1a6e35bffff	7
332	891e3490583ffff	2
333	891e349369bffff	7
334	891f1a680d7ffff	2
335	891e349354bffff	4
336	891e349b687ffff	0
337	891f1a634abffff	4
338	891f1a6a3cbffff	2
339	891e349042fffff	2
340	891f1a61983ffff	1
341	891f1a640cbffff	7
342	891f1a2d277ffff	2
343	891e34d615bffff	4
344	891f1a2dabbffff	0
345	891e34931b7ffff	2
346	891f1a67383ffff	4
347	golf	4
348	891e349040fffff	0
349	891f1a2dc9bffff	2
350	building	3
351	891e3492367ffff	3
352	891f1a66b83ffff	7
353	891f1a618abffff	1
354	891f1a61d6bffff	4
355	891f1a293d7ffff	2
356	891e3493163ffff	4
357	891f1a66babffff	7
358	891e349ae77ffff	2
359	891e34d4c8fffff	4
360	891e3490197ffff	0
361	891f1a6f483ffff	5
362	891f1a62d3bffff	1
363	891e3499137ffff	5
364	891f02869b3ffff	3
365	891e3490653ffff	0
366	891e349524bffff	2
367	891e349a6c7ffff	0
368	891f1a6401bffff	7
369	891f1a66a93ffff	7
370	891f1a2d06fffff	7
371	891e349316fffff	3
372	891e349266fffff	4
373	891f1a6700fffff	7
374	891e3492173ffff	2
375	891f1a6142fffff	0
376	891e349707bffff	2
377	891f1a28007ffff	2
378	891f1a6d907ffff	4
379	891f1a66bdbffff	7
380	891f1a29267ffff	4
381	891f1a6696bffff	7
382	891e349235bffff	4
383	891f1a62163ffff	7
384	891e3491ad3ffff	0
385	891e349059bffff	3
386	891f1a685cbffff	2
387	891e34d4cbbffff	0
388	891f1a61083ffff	0
389	891f1a6182bffff	1
390	891f1a2dcb3ffff	2
391	891e34922cfffff	4
392	shooting	4
393	891f1a2802bffff	2
394	891f1a62d67ffff	2
395	891e3489407ffff	7
396	891f1a2db1bffff	2
397	891f1a28017ffff	2
398	891e34921c3ffff	0
399	891f1a6c177ffff	2
400	891e349664fffff	2
401	891e349232fffff	3
402	891e349049bffff	0
403	891f02ba50bffff	0
404	891e3492223ffff	3
405	891f1a6550fffff	3
406	891e34925d3ffff	2
407	891e349a46fffff	1
408	891e3499c77ffff	1
409	891e34d4c8bffff	1
410	891f1a6e627ffff	4
411	891f1a6265bffff	3
412	891f1a6190bffff	1
413	891e34974afffff	0
414	891e34936d3ffff	2
415	military	6
416	891e34d0c1bffff	4
417	891f1a281cbffff	3
418	891f1a66ba3ffff	7
419	891e34900cbffff	2
420	891e34d60a7ffff	4
421	891f1a6739bffff	7
422	891f1a62d2bffff	3
423	891e34925c3ffff	2
424	891e3491183ffff	2
425	891f1a61823ffff	0
426	891e34d540fffff	1
427	891e34d7537ffff	2
428	891e3492e73ffff	3
429	891f1a28b47ffff	2
430	891f1a6850bffff	2
431	891e34901cbffff	4
432	891e3490487ffff	4
433	891f1a68e87ffff	2
434	891f1a2ababffff	2
435	891f1a610cbffff	2
436	891f1a2c273ffff	4
437	891f1a62da7ffff	7
438	891e34d68c3ffff	7
439	railway_station	7
440	891f1a2938bffff	2
441	891e34d4c77ffff	3
442	891f1a62d5bffff	0
443	891f1a2f617ffff	7
444	891f1a6e507ffff	4
445	891e3492153ffff	1
446	891f1a2c143ffff	2
447	891f1a66ab3ffff	7
448	891e34d4c33ffff	1
449	891e34923d7ffff	3
450	stadium	4
451	891f1a6450bffff	3
452	891f02bac33ffff	3
453	891f1a62167ffff	7
454	891e34923cfffff	3
455	891f1a29d6fffff	2
456	891f1a2c22bffff	2
457	891f02b3593ffff	2
458	891f1a66b13ffff	7
459	891e349207bffff	0
460	891e34921abffff	2
461	891e3492acbffff	2
462	891e34d4d53ffff	2
463	891f1a6a34fffff	2
464	891f1a646c3ffff	7
465	891e34d4c4fffff	4
466	891f1a62983ffff	3
467	891f1a28a0bffff	2
468	891f1a6f383ffff	2
469	891f1a66bc3ffff	7
470	891f1a78d3bffff	4
471	891e3492a0bffff	2
472	891f1a6e643ffff	4
473	891f1a659a7ffff	4
474	891f1a66167ffff	7
475	891e3490537ffff	3
476	891e34d65bbffff	2
477	891e3490513ffff	4
478	891e34975dbffff	2
479	891f1a6111bffff	0
480	891f1a61a2bffff	2
481	891f1a6f5c3ffff	2
482	891f1a62a43ffff	6
483	891f02bb433ffff	2
484	891f1a2a8dbffff	2
485	891f02b8cd3ffff	4
486	891e34923abffff	0
487	gardener	3
488	891e3490403ffff	1
489	891f1a6100fffff	3
490	891f1a29903ffff	2
491	891f0284313ffff	2
492	891e34d6297ffff	4
493	891f1a2c35bffff	3
494	891f1a29d3bffff	2
495	891f1a61dabffff	3
496	891f1a64577ffff	3
497	891f1a6217bffff	7
498	891e3492353ffff	2
499	891e34d6bc3ffff	4
500	891f1a75e03ffff	1
501	891f1a2d1b7ffff	7
502	891e349007bffff	1
503	891e3491a8bffff	2
504	891e3494683ffff	2
505	891f1a2f177ffff	7
506	891f1a2a86fffff	2
507	891e34904a3ffff	1
508	891e349022bffff	1
509	891f1a6415bffff	4
510	891f1a29ec7ffff	4
511	891f02b85a7ffff	2
512	891f1a648bbffff	7
513	891f1a68ecbffff	2
514	891f1a29907ffff	2
515	891e34923d3ffff	2
516	891f02bae87ffff	4
517	891e349aeafffff	7
518	891f1a2d23bffff	2
519	891f1a2c09bffff	2
520	891e349309bffff	3
521	891e349a253ffff	0
522	891e3490337ffff	2
523	891e349155bffff	1
524	891f1a2d3dbffff	2
525	891f1a62337ffff	7
526	891e3492a93ffff	4
527	891f1a75e0bffff	0
528	891f1a64637ffff	7
529	891f1a60527ffff	2
530	891f1a61b33ffff	3
531	891e34936bbffff	7
532	891e3498bb3ffff	3
533	891f02b124bffff	4
534	891f1a2daa3ffff	2
535	891f1a62933ffff	1
536	891e3482687ffff	0
537	891f1a62917ffff	3
538	891f02b8cdbffff	2
539	891e3490033ffff	4
540	891e349053bffff	2
541	891f02baca7ffff	2
542	891e3482187ffff	2
543	891e3497047ffff	2
544	891e3490527ffff	0
545	891f1a29e57ffff	1
546	891e3492683ffff	7
547	891e34d6017ffff	4
548	891f02baca3ffff	1
549	891f1a6e277ffff	4
550	891f1a6f52bffff	4
551	891e34d5d2bffff	2
552	891f1a2d20bffff	2
553	891e3490593ffff	2
554	891e34905abffff	3
555	891f1a6450fffff	5
556	891f1a6e403ffff	1
557	891e349226bffff	2
558	891e34821bbffff	2
559	891e3492ccbffff	2
560	891e3494693ffff	2
561	891f1a6260fffff	2
562	891f1a64503ffff	7
563	891f1a6ec43ffff	4
564	891f1a68423ffff	2
565	891e3493123ffff	4
566	891f1a280b7ffff	2
567	891f1a626cbffff	4
568	891f1a610a7ffff	0
569	891f1a2930fffff	4
570	891f1a65b63ffff	4
571	891f1a7567bffff	4
572	891e34d0873ffff	2
573	891f1a75a57ffff	1
574	891f1a280b3ffff	2
575	891f1a66d9bffff	4
576	891f1a28d67ffff	2
577	891e349886fffff	3
578	891e3496247ffff	2
579	891e34d46b3ffff	3
580	891e349704fffff	0
581	891f1a622afffff	2
582	891e349214bffff	0
583	bar	3
584	891f1a61dc7ffff	2
585	891e3498493ffff	0
586	891f1a65907ffff	3
587	891e34d6bcfffff	4
588	891f1a625bbffff	7
589	891f1a2886fffff	2
590	milestone	3
591	891f1a61953ffff	0
592	891e34992c3ffff	2
593	891f1a6c44bffff	2
594	891f1a61873ffff	1
595	891e3492237ffff	3
