"Lat","Lon","Population"
"53.874589121115484","11.67889096295389","5.5"
"51.3098664825434","11.932690101124104","1.5012345"
"50.91180555559628","6.717916666672041","3.774709328913947"
"52.041805555597186","14.516250000011611","0.9317896609134722"
"49.42625000003954","7.744027777783972","3.6663250818165434"
"50.87069444448514","6.664027777783109","3.774709328913947"
"50.881527777818484","6.5998611111163905","3.774709328913947"
"50.912638888929614","6.680138888894232","3.774709328913947"
"50.854305555596234","6.629305555560858","3.774709328913947"
"50.911527777818506","6.66652777778311","3.774709328913947"
"50.867083333374026","6.700972222227582","3.774709328913947"
