index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
614	located_on_h3_cell	https://www.openstreetmap.org/way/217668049	osmplace	891f1a659b3ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
615	hasOSMTag	athletics	osmtag	891e3490667ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
616	located_on_h3_cell	https://www.openstreetmap.org/relation/2815656	osmplace	891e349ae63ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
617	located_on_h3_cell	891f1a6581bffff	h3place	https://www.openstreetmap.org/relation/2303150	osmplace	False	6.0	Services_POS_amenity around (Stollberg) radius=15.0	
618	located_on_h3_cell	891f1a659bbffff	h3place	https://www.openstreetmap.org/way/204018667	osmplace	False	6.0	Lifestyle_POS_amenity around (Stollberg) radius=15.0	
619	located_on_h3_cell	https://www.openstreetmap.org/way/231214458	osmplace	891f1a6e043ffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
620	hasOSMTag	891f1a6c17bffff	h3place	stop_area	osmtag	False		Transport_POS_amenity around (Stollberg) radius=15.0	2.0
621	located_on_h3_cell	https://www.openstreetmap.org/relation/3957208	osmplace	891f1a64883ffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
622	located_on_h3_cell	891f1a6510bffff	h3place	https://www.openstreetmap.org/way/464329782	osmplace	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
623	hasOSMTag	stop_position	osmtag	891f1a65987ffff	h3place	False		Transport_POS_amenity around (Stollberg) radius=15.0	1.0
624	hasOSMTag	stop_position	osmtag	891e349ae77ffff	h3place	False		Transport_POS_amenity around (Stollberg) radius=15.0	1.0
625	hasOSMTag	stop_position	osmtag	891f1a65957ffff	h3place	False		Transport_POS_amenity around (Stollberg) radius=15.0	1.0
626	hasOSMTag	stop_position	osmtag	891e349a62fffff	h3place	False		Transport_POS_amenity around (Stollberg) radius=15.0	1.0
627	hasOSMTag	stop_position	osmtag	891e34d65abffff	h3place	False		Transport_POS_amenity around (Stollberg) radius=15.0	1.0
628	hasOSMTag	stop_position	osmtag	891f1a655c3ffff	h3place	False		Transport_POS_amenity around (Stollberg) radius=15.0	1.0
629	hasOSMTag	soccer	osmtag	891f1a6410fffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
630	hasOSMTag	891e348327bffff	h3place	park	osmtag	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
631	hasOSMTag	soccer	osmtag	891e34d61dbffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
632	located_on_h3_cell	https://www.openstreetmap.org/node/2140375365	osmplace	891f1a65987ffff	h3place	False	6.0	Environment_POS_amenity around (Stollberg) radius=15.0	
633	hasOSMTag	soccer	osmtag	891e34d615bffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
634	hasOSMTag	soccer	osmtag	891f1a6524bffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
635	hasOSMTag	soccer	osmtag	891e349a613ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
636	hasOSMTag	891f1a6ec23ffff	h3place	sports_centre	osmtag	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
637	located_on_h3_cell	891f1a659bbffff	h3place	https://www.openstreetmap.org/way/105207323	osmplace	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
638	hasOSMTag	soccer	osmtag	891f1a65957ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
639	located_on_h3_cell	https://www.openstreetmap.org/way/210761897	osmplace	891f1a66b83ffff	h3place	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
640	hasOSMTag	soccer	osmtag	891f1a65bdbffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	2.0
641	hasOSMTag	soccer	osmtag	891f1a6c4b3ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
642	located_on_h3_cell	891e3491ad3ffff	h3place	https://www.openstreetmap.org/way/865693301	osmplace	False	6.0	Environment_POS_amenity around (Stollberg) radius=15.0	
643	hasOSMTag	soccer	osmtag	891e348a4abffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
644	hasOSMTag	891e349b4bbffff	h3place	pitch	osmtag	False		Leisure_POS_amenity around (Stollberg) radius=15.0	2.0
645	hasOSMTag	soccer	osmtag	891e34931c7ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
646	hasOSMTag	soccer	osmtag	891e3493423ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	4.0
647	hasOSMTag	soccer	osmtag	891f1a6d987ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
648	hasOSMTag	soccer	osmtag	891e349021bffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
649	hasOSMTag	soccer	osmtag	891e349a33bffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
