index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
121	located_on_h3_cell	891e3498577ffff	h3place	https://www.openstreetmap.org/relation/1390061	osmplace	False		6.0	Environment_NEG_geological around (Stollberg) radius=15.0
122	located_on_h3_cell	https://www.openstreetmap.org/way/286269446	osmplace	891e349310bffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
123	located_on_h3_cell	891f1a6403bffff	h3place	https://www.openstreetmap.org/way/747921054	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
124	hasOSMTag	891e3498577ffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Stollberg) radius=15.0
125	located_on_h3_cell	891e34990dbffff	h3place	https://www.openstreetmap.org/way/362392602	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
126	located_on_h3_cell	891e34990dbffff	h3place	https://www.openstreetmap.org/way/362392592	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
127	hasOSMTag	891f1a6403bffff	h3place	primary	osmtag	False	3.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
128	located_on_h3_cell	891e349a22bffff	h3place	https://www.openstreetmap.org/way/315291244	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
129	located_on_h3_cell	891e34990dbffff	h3place	https://www.openstreetmap.org/way/362392585	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
130	hasOSMTag	891e34990dbffff	h3place	primary	osmtag	False	5.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
131	located_on_h3_cell	https://www.openstreetmap.org/way/277702162	osmplace	891e349022bffff	h3place	False		6.0	Environment_NEG_geological around (Stollberg) radius=15.0
132	located_on_h3_cell	https://www.openstreetmap.org/way/295637403	osmplace	891f1a64d47ffff	h3place	False		6.0	Environment_NEG_geological around (Stollberg) radius=15.0
133	located_on_h3_cell	891e3499473ffff	h3place	https://www.openstreetmap.org/way/362392610	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
134	located_on_h3_cell	https://www.openstreetmap.org/way/210713016	osmplace	891e3493063ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
135	hasOSMTag	industrial	osmtag	891f1a6cb6bffff	h3place	False	1.0		Environment_NEG_geological around (Stollberg) radius=15.0
136	located_on_h3_cell	https://www.openstreetmap.org/way/372377555	osmplace	891e34d6017ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
137	located_on_h3_cell	https://www.openstreetmap.org/way/362403154	osmplace	891e3483687ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
