index	Id	v_type	attributes.osmid	attributes.tagvalue	attributes.tagname	Lon	Lat	attributes.resolution	attributes.h3index	lat	lon
799	https://www.openstreetmap.org/relation/1867861	osmplace				12.89865	50.80123				
800	https://www.openstreetmap.org/relation/9872155	osmplace				12.61923	50.78407				
801	https://www.openstreetmap.org/relation/10410170	osmplace				12.78967	50.81248				
802	https://www.openstreetmap.org/relation/10433363	osmplace				12.63901	50.75573				
803	https://www.openstreetmap.org/way/410553406	osmplace				12.84821	50.69999				
804	https://www.openstreetmap.org/relation/9622450	osmplace				12.79825	50.81247				
805	https://www.openstreetmap.org/node/399586172	osmplace				12.85053	50.80642				
806	https://www.openstreetmap.org/way/385752770	osmplace				12.71601	50.80061				
807	https://www.openstreetmap.org/way/319709247	osmplace				12.91175	50.64745				
808	https://www.openstreetmap.org/way/248927140	osmplace				12.90065	50.76961				
809	https://www.openstreetmap.org/way/957098413	osmplace				12.95816	50.67534				
810	https://www.openstreetmap.org/way/138488426	osmplace				12.95373	50.67588				
811	https://www.openstreetmap.org/way/613477316	osmplace				12.91247	50.64812				
812	https://www.openstreetmap.org/way/551625974	osmplace				12.8352	50.80949				
813	https://www.openstreetmap.org/way/210038701	osmplace				12.78518	50.82093				
814	https://www.openstreetmap.org/way/210254142	osmplace				12.78787	50.81275				
815	https://www.openstreetmap.org/way/370444424	osmplace				12.79283	50.72075				
816	https://www.openstreetmap.org/way/264516307	osmplace				12.84403	50.8183				
817	https://www.openstreetmap.org/way/777968637	osmplace				12.71007	50.78122				
818	https://www.openstreetmap.org/way/660720578	osmplace				12.89853	50.77727				
819	https://www.openstreetmap.org/way/217711770	osmplace				12.72859	50.83438				
820	https://www.openstreetmap.org/way/221584600	osmplace				12.94956	50.67098				
821	https://www.openstreetmap.org/way/744295681	osmplace				12.83678	50.8268				
822	https://www.openstreetmap.org/relation/2815896	osmplace				12.84425	50.70855				
823	https://www.openstreetmap.org/way/309776982	osmplace				12.60122	50.78826				
824	https://www.openstreetmap.org/way/309777004	osmplace				12.60541	50.79414				
825	https://www.openstreetmap.org/way/537517386	osmplace				12.62685	50.78352				
826	https://www.openstreetmap.org/way/211075194	osmplace				12.75874	50.81022				
827	https://www.openstreetmap.org/way/369941512	osmplace				12.73797	50.73841				
828	https://www.openstreetmap.org/relation/2182381	osmplace				12.69357	50.79186				
829	https://www.openstreetmap.org/way/726612243	osmplace				12.91714	50.7898				
830	https://www.openstreetmap.org/node/963325373	osmplace				12.89856	50.79532				
831	https://www.openstreetmap.org/way/377744299	osmplace				12.8609	50.77947				
832	https://www.openstreetmap.org/way/867345731	osmplace				12.65934	50.77417				
833	891e348a6afffff	h3place				12.90522	50.60657	9.0		50.60657020523569	12.905215226391999
834	891e349b64bffff	h3place				12.68556	50.67053	9.0		50.67053449683394	12.685561272227384
835	891e34992d3ffff	h3place				12.72218	50.61474	9.0		50.61473651719542	12.722180968526615
836	891e34992dbffff	h3place				12.71994	50.61205	9.0		50.61205227345072	12.719936347064209
837	891e3499047ffff	h3place				12.74852	50.6241	9.0		50.62409851163949	12.74852477086641
838	891e349a62fffff	h3place				12.77816	50.71469	9.0		50.71469307897189	12.77815836129566
839	891e349904bffff	h3place				12.74138	50.62109	9.0		50.62108767727476	12.741376456473485
840	891e34d63d7ffff	h3place				12.69567	50.57748	9.0		50.577475171400835	12.695671499808116
841	891e34d6103ffff	h3place				12.72158	50.59189	9.0		50.591887773274095	12.72158354287793
842	891e34d63d3ffff	h3place				12.69077	50.57715	9.0		50.57714601053751	12.69077357072789
843	891f1a6ed0fffff	h3place				12.66262	50.70949	9.0		50.70948584003095	12.66261532566099
844	891e34985cfffff	h3place				12.82478	50.68741	9.0		50.6874103011395	12.824780325394372
845	891e34d61cbffff	h3place				12.70689	50.5909	9.0		50.59090269477122	12.706885345632879
846	891e3491c5bffff	h3place				12.9178	50.75931	9.0		50.759306091622655	12.91779966154224
847	891e349340fffff	h3place				12.82592	50.82658	9.0		50.82658209443263	12.825916355744775
848	891e349346fffff	h3place				12.82898	50.8192	9.0		50.819204662550774	12.828983867502814
849	891e348a4a3ffff	h3place				12.91834	50.6277	9.0		50.627701204526126	12.918338443165029
850	891e3491e67ffff	h3place				12.92431	50.73949	9.0		50.739494328522895	12.924309334956135
851	891f1a64493ffff	h3place				12.6641	50.81073	9.0		50.81072729253496	12.66410029565491
852	891f1a6448fffff	h3place				12.66943	50.80603	9.0		50.806033139055835	12.669430521103884
853	891f1a642c3ffff	h3place				12.66028	50.7675	9.0		50.767502062296806	12.66027686109876
854	891e349005bffff	h3place				12.91501	50.79452	9.0		50.79452324465002	12.915005963903614
855	891f1a6091bffff	h3place				12.56476	50.75849	9.0		50.75848727218386	12.564762112459182
856	891e3490283ffff	h3place				12.91049	50.78917	9.0		50.78917227208156	12.910487416570556
857	891f1a66babffff	h3place				12.78022	50.81092	9.0		50.81092116918912	12.78021983529605
858	891f1a64a87ffff	h3place				12.76199	50.76168	9.0		50.76167961876313	12.761994190169476
859	891f1a659a7ffff	h3place				12.75872	50.74123	9.0		50.74122902003482	12.758722153195075
860	891e34911d7ffff	h3place				12.88751	50.76744	9.0		50.76744154180142	12.887505115837687
861	891f1a6599bffff	h3place				12.73642	50.74227	9.0		50.742270117431104	12.736418825019138
862	891f1a640b3ffff	h3place				12.69524	50.79261	9.0		50.7926073437295	12.695243274647275
863	891e34985a3ffff	h3place				12.84401	50.69374	9.0		50.69374194148225	12.8440123654385
864	891e34d65afffff	h3place				12.71504	50.61172	9.0		50.61172395151687	12.715035447598778
865	891e348a413ffff	h3place				12.90627	50.62438	9.0		50.62437943684278	12.90627172169954
866	891e34d6297ffff	h3place				12.67077	50.58087	9.0		50.580869528554324	12.670768090738497
867	891e34d607bffff	h3place				12.68546	50.58186	9.0		50.58185894073042	12.685461659584279
868	891e34d6067ffff	h3place				12.69526	50.58252	9.0		50.58251754515018	12.695258060931165
869	891e3499c47ffff	h3place				12.81717	50.62866	9.0		50.62865814771329	12.817172797325957
870	891f1a65babffff	h3place				12.73582	50.71946	9.0		50.71946196334274	12.735815660942505
871	891f1a65857ffff	h3place				12.70288	50.72991	9.0		50.729905546653384	12.702876886233117
872	891e349b6c7ffff	h3place				12.68964	50.68094	9.0		50.6809350933183	12.689636813801904
873	891e349810fffff	h3place				12.85585	50.6692	9.0		50.66920290922033	12.855846096231431
874	891e34992afffff	h3place				12.74934	50.61402	9.0		50.61401798392	12.749344626528975
875	891f1a6d993ffff	h3place				12.62866	50.6135	9.0		50.61350483045315	12.628664622589023
876	891f1a6e38fffff	h3place				12.57517	50.69343	9.0		50.69342989899892	12.575167575850308
877	891e349a333ffff	h3place				12.82582	50.7052	9.0		50.7051973244367	12.825817371634434
878	891e3491133ffff	h3place				12.90757	50.7637	9.0		50.76369629719364	12.907568666539872
879	891e3493147ffff	h3place				12.8718	50.80939	9.0		50.809388036622764	12.871797814666463
880	891f1a6e067ffff	h3place				12.56494	50.69779	9.0		50.697792656146	12.564938167507249
881	891f1a6451bffff	h3place				12.69933	50.80299	9.0		50.80299070252662	12.699327491914577
882	891f1a66ab3ffff	h3place				12.7454	50.81366	9.0		50.81365594039971	12.74539808113371
883	891f1a64383ffff	h3place				12.70406	50.77551	9.0		50.77550522405864	12.704062233311575
884	891f1a65c5bffff	h3place				12.67709	50.74335	9.0		50.74334831615983	12.677087895833873
885	891e349a0d7ffff	h3place				12.78716	50.72541	9.0		50.725412172698064	12.787161971021993
886	891e349a5cfffff	h3place				12.80333	50.73913	9.0		50.73913374989172	12.803332482481611
887	891f1a65083ffff	h3place				12.61959	50.75211	9.0		50.75210650714222	12.619592974523796
888	891f1a66a53ffff	h3place				12.72656	50.80229	9.0		50.80228916835102	12.726561864834107
889	891f1a64437ffff	h3place				12.68459	50.802	9.0		50.80199988564613	12.684586665760417
890	891f1a64d8fffff	h3place				12.79128	50.79649	9.0		50.79649178456818	12.79127687645988
891	891f1a66967ffff	h3place				12.79682	50.8196	9.0		50.819603226304245	12.796816051583969
892	891f1a60b6bffff	h3place				12.55483	50.72999	9.0		50.72999064602837	12.55482757350779
893	891f1a6e5afffff	h3place				12.58468	50.72697	9.0		50.72697050911024	12.584683950932543
894	891e3491e0fffff	h3place				12.919	50.74421	9.0		50.74420747818938	12.918996111505708
895	891e34936bbffff	h3place				12.81198	50.81555	9.0		50.8155536631963	12.811975122278994
896	891e349138fffff	h3place				12.88154	50.74935	9.0		50.74934655524018	12.881536932171961
897	891f1a65163ffff	h3place				12.66012	50.73967	9.0		50.73967479960771	12.660115263431923
898	891e348320bffff	h3place				12.95404	50.67562	9.0		50.67561993784319	12.954035229660377
899	891e3490633ffff	h3place				12.90477	50.79891	9.0		50.79891030404571	12.904769765343822
900	https://www.openstreetmap.org/relation/9575729	osmplace				12.81267	50.62993				
