index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
2833	located_on_h3_cell	https://www.openstreetmap.org/way/304578487	osmplace	891e34d6153ffff	h3place	False	6.0	Services_POS_amenity around (Aue) radius=15.0	
2834	located_on_h3_cell	https://www.openstreetmap.org/way/509575460	osmplace	891f1a6c4cfffff	h3place	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2835	located_on_h3_cell	891f1a6e343ffff	h3place	https://www.openstreetmap.org/way/445385298	osmplace	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2836	located_on_h3_cell	https://www.openstreetmap.org/relation/9937243	osmplace	891e3499cc3ffff	h3place	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2837	located_on_h3_cell	https://www.openstreetmap.org/relation/1599224	osmplace	891e349926bffff	h3place	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2838	hasOSMTag	soccer	osmtag	891e349a213ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	2.0
2839	hasOSMTag	sports_centre	osmtag	891e34d658bffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
2840	located_on_h3_cell	https://www.openstreetmap.org/way/496352481	osmplace	891f1a6cebbffff	h3place	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2841	hasOSMTag	891e34992dbffff	h3place	platform	osmtag	False		Transport_POS_amenity around (Aue) radius=15.0	3.0
2842	hasOSMTag	restaurant	osmtag	891e34d2d4bffff	h3place	False		Lifestyle_POS_amenity around (Aue) radius=15.0	1.0
2843	hasOSMTag	891e34d61c3ffff	h3place	stop_area	osmtag	False		Transport_POS_amenity around (Aue) radius=15.0	1.0
2844	located_on_h3_cell	891f1a6f3a7ffff	h3place	https://www.openstreetmap.org/relation/9881023	osmplace	False	6.0	Transport_POS_amenity around (Aue) radius=15.0	
2845	hasOSMTag	891e348b06fffff	h3place	swimming_pool	osmtag	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
2846	located_on_h3_cell	891f1a6cd8fffff	h3place	https://www.openstreetmap.org/way/331346929	osmplace	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2847	located_on_h3_cell	https://www.openstreetmap.org/relation/10757866	osmplace	891f1a6dedbffff	h3place	False	6.0	Transport_POS_amenity around (Aue) radius=15.0	
2848	located_on_h3_cell	891e34d4cafffff	h3place	https://www.openstreetmap.org/way/734286493	osmplace	False	6.0	Transport_POS_amenity around (Aue) radius=15.0	
2849	hasOSMTag	kindergarten	osmtag	891f1a6ec43ffff	h3place	False		Services_POS_amenity around (Aue) radius=15.0	1.0
2850	located_on_h3_cell	891f1a6cdcbffff	h3place	https://www.openstreetmap.org/relation/10876673	osmplace	False	6.0	Transport_POS_amenity around (Aue) radius=15.0	
2851	located_on_h3_cell	https://www.openstreetmap.org/way/304504192	osmplace	891e34992dbffff	h3place	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2852	located_on_h3_cell	891e34d4c4bffff	h3place	https://www.openstreetmap.org/way/228897649	osmplace	False	6.0	Services_POS_amenity around (Aue) radius=15.0	
2853	hasOSMTag	stop_area	osmtag	891f1a6d543ffff	h3place	False		Transport_POS_amenity around (Aue) radius=15.0	2.0
2854	located_on_h3_cell	https://www.openstreetmap.org/way/747349960	osmplace	891f1a65a87ffff	h3place	False	6.0	Services_POS_amenity around (Aue) radius=15.0	
2855	located_on_h3_cell	https://www.openstreetmap.org/relation/10933818	osmplace	891e348a413ffff	h3place	False	6.0	Transport_POS_amenity around (Aue) radius=15.0	
2856	hasOSMTag	climbing	osmtag	891e34d5aabffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
2857	located_on_h3_cell	https://www.openstreetmap.org/way/221548711	osmplace	891f1a6ed0fffff	h3place	False	6.0	Lifestyle_POS_amenity around (Aue) radius=15.0	
2858	hasOSMTag	basketball	osmtag	891e34d4c47ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
2859	located_on_h3_cell	https://www.openstreetmap.org/way/331346929	osmplace	891f1a6cd8fffff	h3place	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2860	located_on_h3_cell	891f1a6c82fffff	h3place	https://www.openstreetmap.org/way/301674590	osmplace	False	6.0	Lifestyle_POS_amenity around (Aue) radius=15.0	
2861	located_on_h3_cell	https://www.openstreetmap.org/way/238220274	osmplace	891e3499c43ffff	h3place	False	6.0	Services_POS_amenity around (Aue) radius=15.0	
2862	located_on_h3_cell	891e34d5403ffff	h3place	https://www.openstreetmap.org/way/246460100	osmplace	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2863	hasOSMTag	tennis	osmtag	891e34d4cafffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
2864	located_on_h3_cell	891f1a6c08bffff	h3place	https://www.openstreetmap.org/way/256176031	osmplace	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2865	hasOSMTag	891f1a6c353ffff	h3place	equestrian	osmtag	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
2866	located_on_h3_cell	891e34c66c3ffff	h3place	https://www.openstreetmap.org/way/238160241	osmplace	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2867	located_on_h3_cell	https://www.openstreetmap.org/relation/10094428	osmplace	891e349905bffff	h3place	False	6.0	Transport_POS_amenity around (Aue) radius=15.0	
2868	hasOSMTag	stop_area	osmtag	891f1a6eb03ffff	h3place	False		Transport_POS_amenity around (Aue) radius=15.0	2.0
2869	located_on_h3_cell	891e34d60afffff	h3place	https://www.openstreetmap.org/relation/8169663	osmplace	False	6.0	Transport_POS_amenity around (Aue) radius=15.0	
2870	hasOSMTag	891e34992dbffff	h3place	playground	osmtag	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
2871	located_on_h3_cell	https://www.openstreetmap.org/way/661163167	osmplace	891f1a6d5d7ffff	h3place	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2872	hasOSMTag	891f1a65bafffff	h3place	park	osmtag	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
2873	hasOSMTag	soccer	osmtag	891f1a6cebbffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
2874	hasOSMTag	891f1a6e20fffff	h3place	stop_area	osmtag	False		Transport_POS_amenity around (Aue) radius=15.0	1.0
2875	hasOSMTag	891e34d468fffff	h3place	park	osmtag	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
2876	hasOSMTag	891f1a6c013ffff	h3place	sawmill	osmtag	False		Lifestyle_POS_amenity around (Aue) radius=15.0	1.0
2877	located_on_h3_cell	https://www.openstreetmap.org/way/234772739	osmplace	891e34d753bffff	h3place	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2878	located_on_h3_cell	891e349b233ffff	h3place	https://www.openstreetmap.org/way/264621232	osmplace	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2879	located_on_h3_cell	891e348b1cfffff	h3place	https://www.openstreetmap.org/relation/10830224	osmplace	False	6.0	Transport_POS_amenity around (Aue) radius=15.0	
2880	hasOSMTag	stop_area	osmtag	891e349a207ffff	h3place	False		Transport_POS_amenity around (Aue) radius=15.0	1.0
2881	located_on_h3_cell	891e34d56c7ffff	h3place	https://www.openstreetmap.org/way/48762043	osmplace	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2882	hasOSMTag	soccer	osmtag	891e34d2a67ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
2883	located_on_h3_cell	https://www.openstreetmap.org/way/258120031	osmplace	891f1a6f137ffff	h3place	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2884	hasOSMTag	891e34d5037ffff	h3place	swimming_pool	osmtag	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
2885	hasOSMTag	stop_position	osmtag	891f1a6d917ffff	h3place	False		Transport_POS_amenity around (Aue) radius=15.0	1.0
2886	located_on_h3_cell	https://www.openstreetmap.org/node/4463822667	osmplace	891e34981dbffff	h3place	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2887	located_on_h3_cell	891e34d75c3ffff	h3place	https://www.openstreetmap.org/way/619759817	osmplace	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2888	hasOSMTag	891e34d65afffff	h3place	stop_area	osmtag	False		Transport_POS_amenity around (Aue) radius=15.0	4.0
2889	located_on_h3_cell	891f1a6f17bffff	h3place	https://www.openstreetmap.org/relation/10327045	osmplace	False	6.0	Transport_POS_amenity around (Aue) radius=15.0	
2890	hasOSMTag	bowling_alley	osmtag	891e34d6153ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
2891	located_on_h3_cell	https://www.openstreetmap.org/node/515104137	osmplace	891e34d62c3ffff	h3place	False	6.0	Transport_POS_amenity around (Aue) radius=15.0	
2892	located_on_h3_cell	891e34d615bffff	h3place	https://www.openstreetmap.org/way/279445376	osmplace	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2893	located_on_h3_cell	https://www.openstreetmap.org/relation/9877947	osmplace	891f1a6d033ffff	h3place	False	6.0	Transport_POS_amenity around (Aue) radius=15.0	
2894	located_on_h3_cell	https://www.openstreetmap.org/node/258801653	osmplace	891e34d4d53ffff	h3place	False	6.0	Transport_POS_amenity around (Aue) radius=15.0	
2895	located_on_h3_cell	https://www.openstreetmap.org/way/447013193	osmplace	891e34d45afffff	h3place	False	6.0	Services_POS_amenity around (Aue) radius=15.0	
2896	located_on_h3_cell	https://www.openstreetmap.org/relation/10751433	osmplace	891f1a6e27bffff	h3place	False	6.0	Transport_POS_amenity around (Aue) radius=15.0	
2897	hasOSMTag	building	osmtag	891e349a21bffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
2898	located_on_h3_cell	https://www.openstreetmap.org/way/931114621	osmplace	891e34d2d97ffff	h3place	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2899	located_on_h3_cell	https://www.openstreetmap.org/way/308476195	osmplace	891e349b42fffff	h3place	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2900	located_on_h3_cell	891e349a043ffff	h3place	https://www.openstreetmap.org/relation/10254698	osmplace	False	6.0	Transport_POS_amenity around (Aue) radius=15.0	
2901	located_on_h3_cell	https://www.openstreetmap.org/way/236328560	osmplace	891e34d4c37ffff	h3place	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2902	located_on_h3_cell	https://www.openstreetmap.org/node/6773024975	osmplace	891e34d604bffff	h3place	False	6.0	Transport_POS_amenity around (Aue) radius=15.0	
2903	hasOSMTag	fountain	osmtag	891f1a6c62fffff	h3place	False		Environment_POS_amenity around (Aue) radius=15.0	1.0
2904	located_on_h3_cell	891e34d75c3ffff	h3place	https://www.openstreetmap.org/way/244841478	osmplace	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2905	hasOSMTag	athletics	osmtag	891e349a6c7ffff	h3place	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
2906	hasOSMTag	891e34d63d3ffff	h3place	pitch	osmtag	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
2907	located_on_h3_cell	https://www.openstreetmap.org/way/877604994	osmplace	891e34d644fffff	h3place	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2908	hasOSMTag	891f1a6d977ffff	h3place	tomb	osmtag	False		Leisure_POS_amenity around (Aue) radius=15.0	2.0
2909	located_on_h3_cell	891f1a6d39bffff	h3place	https://www.openstreetmap.org/relation/9877921	osmplace	False	6.0	Transport_POS_amenity around (Aue) radius=15.0	
2910	located_on_h3_cell	https://www.openstreetmap.org/way/241183643	osmplace	891e34d6b57ffff	h3place	False	6.0	Lifestyle_POS_amenity around (Aue) radius=15.0	
2911	located_on_h3_cell	https://www.openstreetmap.org/way/388129348	osmplace	891f1a6ec57ffff	h3place	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2912	hasOSMTag	stop_position	osmtag	891e349a62fffff	h3place	False		Transport_POS_amenity around (Aue) radius=15.0	1.0
2913	located_on_h3_cell	891e3498bdbffff	h3place	https://www.openstreetmap.org/way/659764040	osmplace	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2914	located_on_h3_cell	https://www.openstreetmap.org/way/821341825	osmplace	891e3499ccbffff	h3place	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2915	located_on_h3_cell	891f1a6c44bffff	h3place	https://www.openstreetmap.org/way/314097200	osmplace	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
2916	hasOSMTag	891e34d490fffff	h3place	pitch	osmtag	False		Leisure_POS_amenity around (Aue) radius=15.0	1.0
2917	located_on_h3_cell	https://www.openstreetmap.org/way/940590721	osmplace	891f1a6d90fffff	h3place	False	6.0	Lifestyle_POS_amenity around (Aue) radius=15.0	
2918	located_on_h3_cell	891e34d721bffff	h3place	https://www.openstreetmap.org/node/8758900097	osmplace	False	6.0	Leisure_POS_amenity around (Aue) radius=15.0	
