h3index,osmtag,z,layer_id
891f1a2a86fffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891f1a2a8cbffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349ad5bffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349ad43ffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349ad0fffff,primary,3,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349ada7ffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349adafffff,primary,2,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e3483697ffff,primary,2,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e3483687ffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349ad07ffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349ad33ffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e348345bffff,primary,2,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e34834cbffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e34834dbffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e349a927ffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e3491a13ffff,primary,4,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e3491a8bffff,primary,4,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e3491ac7ffff,primary,2,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e3491a1bffff,primary,2,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e3491ad7ffff,primary,2,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e3491a8fffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e3491ad3ffff,primary,3,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e3491e2bffff,primary,1,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e3491e67ffff,primary,2,Transport_NEG_aeroway around (Chemnitz) radius=15.0
891e3491e23ffff,primary,2,Transport_NEG_aeroway around (Chemnitz) radius=15.0
