index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
847	located_on_h3_cell	891f02b198fffff	h3place	https://www.openstreetmap.org/way/363260482	osmplace	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
848	hasOSMTag	891f02b0583ffff	h3place	park	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
849	hasOSMTag	platform	osmtag	891f02ba49bffff	h3place	False	2.0		Transport_POS_amenity around (Wismar) radius=15.0
850	hasOSMTag	891f02b342fffff	h3place	stop_area	osmtag	False	1.0		Transport_POS_amenity around (Wismar) radius=15.0
851	located_on_h3_cell	https://www.openstreetmap.org/way/544144117	osmplace	891f02b08bbffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
852	located_on_h3_cell	https://www.openstreetmap.org/way/435386212	osmplace	891f02bacabffff	h3place	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
853	hasOSMTag	table_tennis	osmtag	891f02b8cd3ffff	h3place	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
854	located_on_h3_cell	891f02b1363ffff	h3place	https://www.openstreetmap.org/way/436207456	osmplace	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
855	hasOSMTag	park	osmtag	891f02aa0d7ffff	h3place	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
856	hasOSMTag	running	osmtag	891f02ba527ffff	h3place	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
857	located_on_h3_cell	https://www.openstreetmap.org/way/958495444	osmplace	891f02aa0c3ffff	h3place	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
858	hasOSMTag	891f02b8533ffff	h3place	platform	osmtag	False	1.0		Transport_POS_amenity around (Wismar) radius=15.0
859	located_on_h3_cell	https://www.openstreetmap.org/relation/11976317	osmplace	891f02bad3bffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
860	hasOSMTag	891f02a0143ffff	h3place	playground	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
861	located_on_h3_cell	https://www.openstreetmap.org/node/4430903150	osmplace	891f02b358fffff	h3place	False		6.0	Lifestyle_POS_amenity around (Wismar) radius=15.0
862	hasOSMTag	playground	osmtag	891f028482fffff	h3place	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
863	located_on_h3_cell	https://www.openstreetmap.org/way/880986382	osmplace	891f02baa0bffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
864	hasOSMTag	restaurant	osmtag	891f02bac37ffff	h3place	False	1.0		Lifestyle_POS_amenity around (Wismar) radius=15.0
865	located_on_h3_cell	891f0284313ffff	h3place	https://www.openstreetmap.org/way/880261034	osmplace	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
866	located_on_h3_cell	891f02b1a63ffff	h3place	https://www.openstreetmap.org/relation/11976321	osmplace	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
867	hasOSMTag	891f02a312bffff	h3place	stop_area	osmtag	False	1.0		Transport_POS_amenity around (Wismar) radius=15.0
868	hasOSMTag	891f02bad23ffff	h3place	platform	osmtag	False	3.0		Transport_POS_amenity around (Wismar) radius=15.0
869	located_on_h3_cell	https://www.openstreetmap.org/way/880685145	osmplace	891f02bad1bffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
870	located_on_h3_cell	https://www.openstreetmap.org/way/361375539	osmplace	891f02b1977ffff	h3place	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
871	located_on_h3_cell	https://www.openstreetmap.org/way/352265896	osmplace	891f02b8db3ffff	h3place	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
872	hasOSMTag	platform	osmtag	891f02b9d97ffff	h3place	False	2.0		Transport_POS_amenity around (Wismar) radius=15.0
873	hasOSMTag	891f02869b3ffff	h3place	platform	osmtag	False	1.0		Transport_POS_amenity around (Wismar) radius=15.0
874	located_on_h3_cell	https://www.openstreetmap.org/way/880986389	osmplace	891f02ba8d3ffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
875	hasOSMTag	891f02b8533ffff	h3place	stop_area	osmtag	False	1.0		Transport_POS_amenity around (Wismar) radius=15.0
876	located_on_h3_cell	891f02ba677ffff	h3place	https://www.openstreetmap.org/way/877647064	osmplace	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
877	located_on_h3_cell	https://www.openstreetmap.org/way/881148348	osmplace	891f02b118fffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
878	hasOSMTag	platform	osmtag	891f028422fffff	h3place	False	1.0		Transport_POS_amenity around (Wismar) radius=15.0
879	located_on_h3_cell	https://www.openstreetmap.org/way/881148334	osmplace	891f02b1363ffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
880	located_on_h3_cell	https://www.openstreetmap.org/way/880986381	osmplace	891f02baa0bffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
881	hasOSMTag	891f02b124bffff	h3place	park	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
882	located_on_h3_cell	https://www.openstreetmap.org/relation/11980995	osmplace	891f0049babffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
883	located_on_h3_cell	891f02a02bbffff	h3place	https://www.openstreetmap.org/relation/11975123	osmplace	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
884	hasOSMTag	891f02bac4bffff	h3place	soccer	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
885	hasOSMTag	pitch	osmtag	891f02b3597ffff	h3place	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
886	hasOSMTag	stop_area	osmtag	891f02baca7ffff	h3place	False	1.0		Transport_POS_amenity around (Wismar) radius=15.0
887	located_on_h3_cell	https://www.openstreetmap.org/way/357144782	osmplace	891f02b1b47ffff	h3place	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
888	hasOSMTag	equestrian	osmtag	891f02b02afffff	h3place	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
889	located_on_h3_cell	https://www.openstreetmap.org/way/443807532	osmplace	891f02bb3c7ffff	h3place	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
890	located_on_h3_cell	https://www.openstreetmap.org/relation/11975121	osmplace	891f02a0607ffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
891	hasOSMTag	891f02b1acbffff	h3place	distillery	osmtag	False	1.0		Lifestyle_POS_amenity around (Wismar) radius=15.0
892	located_on_h3_cell	https://www.openstreetmap.org/node/1317435041	osmplace	891f02aa617ffff	h3place	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
893	hasOSMTag	891f02b133bffff	h3place	platform	osmtag	False	2.0		Transport_POS_amenity around (Wismar) radius=15.0
894	hasOSMTag	891f02a349bffff	h3place	platform	osmtag	False	2.0		Transport_POS_amenity around (Wismar) radius=15.0
895	located_on_h3_cell	https://www.openstreetmap.org/way/430156995	osmplace	891f02ba86bffff	h3place	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
896	hasOSMTag	891f02b34c3ffff	h3place	pitch	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
897	located_on_h3_cell	https://www.openstreetmap.org/way/454567562	osmplace	891f02b8db7ffff	h3place	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
898	hasOSMTag	stop_area	osmtag	891f02a056fffff	h3place	False	1.0		Transport_POS_amenity around (Wismar) radius=15.0
899	hasOSMTag	building	osmtag	891f02b8ccfffff	h3place	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
900	located_on_h3_cell	https://www.openstreetmap.org/relation/11976313	osmplace	891f02bac37ffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
901	located_on_h3_cell	891f02bac27ffff	h3place	https://www.openstreetmap.org/relation/11990439	osmplace	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
902	hasOSMTag	platform	osmtag	891f02b9dcfffff	h3place	False	2.0		Transport_POS_amenity around (Wismar) radius=15.0
903	hasOSMTag	slipway	osmtag	891f0284c0fffff	h3place	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
904	located_on_h3_cell	https://www.openstreetmap.org/way/447154948	osmplace	891f02aa0c3ffff	h3place	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
905	located_on_h3_cell	https://www.openstreetmap.org/relation/11990442	osmplace	891f02ba88bffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
906	hasOSMTag	891f02ba127ffff	h3place	pitch	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
907	hasOSMTag	891f02b09d3ffff	h3place	manor	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
908	located_on_h3_cell	https://www.openstreetmap.org/way/881148337	osmplace	891f02b133bffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
909	hasOSMTag	platform	osmtag	891f02bae3bffff	h3place	False	1.0		Transport_POS_amenity around (Wismar) radius=15.0
910	located_on_h3_cell	https://www.openstreetmap.org/way/461001346	osmplace	891f02bb663ffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
911	located_on_h3_cell	https://www.openstreetmap.org/way/93475927	osmplace	891f02aa137ffff	h3place	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
912	hasOSMTag	891f02aa00fffff	h3place	nature_reserve	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
913	hasOSMTag	platform	osmtag	891f02b2e5bffff	h3place	False	1.0		Transport_POS_amenity around (Wismar) radius=15.0
914	located_on_h3_cell	891f02aa127ffff	h3place	https://www.openstreetmap.org/way/551166631	osmplace	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
915	hasOSMTag	891f028495bffff	h3place	playground	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
916	hasOSMTag	891f02bb403ffff	h3place	platform	osmtag	False	2.0		Transport_POS_amenity around (Wismar) radius=15.0
917	located_on_h3_cell	https://www.openstreetmap.org/way/435148120	osmplace	891f02bac07ffff	h3place	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
918	located_on_h3_cell	https://www.openstreetmap.org/way/594849662	osmplace	891f02b1117ffff	h3place	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
919	hasOSMTag	891f02b9b23ffff	h3place	athletics	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
920	hasOSMTag	891f02b35c7ffff	h3place	castle	osmtag	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
921	located_on_h3_cell	https://www.openstreetmap.org/way/879991937	osmplace	891f02ba4bbffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
922	hasOSMTag	891f02bac8fffff	h3place	pub	osmtag	False	1.0		Lifestyle_POS_amenity around (Wismar) radius=15.0
923	located_on_h3_cell	https://www.openstreetmap.org/relation/11990449	osmplace	891f02b8297ffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
924	hasOSMTag	pitch	osmtag	891f02ba277ffff	h3place	False	1.0		Leisure_POS_amenity around (Wismar) radius=15.0
925	hasOSMTag	891f02b358bffff	h3place	stop_area	osmtag	False	1.0		Transport_POS_amenity around (Wismar) radius=15.0
926	located_on_h3_cell	https://www.openstreetmap.org/relation/11981002	osmplace	891f02869b3ffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
927	located_on_h3_cell	891f02bacbbffff	h3place	https://www.openstreetmap.org/node/4336703365	osmplace	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
