index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
3978	located_on_h3_cell	https://www.openstreetmap.org/way/594354352	osmplace	891e34d650bffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
3979	located_on_h3_cell	891e34d750bffff	h3place	https://www.openstreetmap.org/way/134509528	osmplace	False		6.0	Lifestyle_POS_amenity around (Aue) radius=15.0
3980	located_on_h3_cell	https://www.openstreetmap.org/way/803466337	osmplace	891e34d4c37ffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
3981	hasOSMTag	891e3499ccfffff	h3place	park	osmtag	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
3982	located_on_h3_cell	891e34d0c8bffff	h3place	https://www.openstreetmap.org/way/600956197	osmplace	False		6.0	Lifestyle_POS_amenity around (Aue) radius=15.0
3983	hasOSMTag	891e34d602bffff	h3place	pitch	osmtag	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
3984	located_on_h3_cell	891e34d5d33ffff	h3place	https://www.openstreetmap.org/way/228277229	osmplace	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
3985	located_on_h3_cell	891e34d4dcbffff	h3place	https://www.openstreetmap.org/way/225036029	osmplace	False		6.0	Lifestyle_POS_amenity around (Aue) radius=15.0
3986	hasOSMTag	891e348b5a3ffff	h3place	stop_area	osmtag	False	1.0		Transport_POS_amenity around (Aue) radius=15.0
3987	located_on_h3_cell	891f1a6d913ffff	h3place	https://www.openstreetmap.org/way/800443426	osmplace	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
3988	located_on_h3_cell	https://www.openstreetmap.org/relation/8277196	osmplace	891e349835bffff	h3place	False		6.0	Transport_POS_amenity around (Aue) radius=15.0
3989	located_on_h3_cell	https://www.openstreetmap.org/node/3824554143	osmplace	891e349aa43ffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
3990	hasOSMTag	tennis	osmtag	891e34d6007ffff	h3place	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
3991	located_on_h3_cell	https://www.openstreetmap.org/way/238883194	osmplace	891e34d2d57ffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
3992	located_on_h3_cell	https://www.openstreetmap.org/node/8710852187	osmplace	891f1a6d963ffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
3993	hasOSMTag	891e34d6a77ffff	h3place	stop_area	osmtag	False	1.0		Transport_POS_amenity around (Aue) radius=15.0
3994	located_on_h3_cell	https://www.openstreetmap.org/way/444606678	osmplace	891e34d6153ffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
3995	located_on_h3_cell	891e34d28cbffff	h3place	https://www.openstreetmap.org/relation/11048478	osmplace	False		6.0	Transport_POS_amenity around (Aue) radius=15.0
3996	hasOSMTag	stop_area	osmtag	891e34d2a67ffff	h3place	False	3.0		Transport_POS_amenity around (Aue) radius=15.0
3997	located_on_h3_cell	891e349a2cfffff	h3place	https://www.openstreetmap.org/way/100446396	osmplace	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
