index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
472	located_on_h3_cell	https://www.openstreetmap.org/way/257702975	osmplace	891e3490607ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
473	hasOSMTag	primary	osmtag	891e349a58fffff	h3place	False	1.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
474	hasOSMTag	891e349a513ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
475	hasOSMTag	primary	osmtag	891e349a8c3ffff	h3place	False	1.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
476	located_on_h3_cell	891e349a46fffff	h3place	https://www.openstreetmap.org/way/805380931	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
477	located_on_h3_cell	https://www.openstreetmap.org/way/477878108	osmplace	891e349343bffff	h3place	False		6.0	Environment_NEG_geological around (Stollberg) radius=15.0
478	located_on_h3_cell	https://www.openstreetmap.org/way/254202074	osmplace	891e3491293ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
479	located_on_h3_cell	https://www.openstreetmap.org/way/264194549	osmplace	891f1a64dc7ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
480	located_on_h3_cell	891e349316bffff	h3place	https://www.openstreetmap.org/way/259091491	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
481	hasOSMTag	891e349310bffff	h3place	primary	osmtag	False	7.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
482	hasOSMTag	891e3491e6fffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
483	located_on_h3_cell	891f1a6621bffff	h3place	https://www.openstreetmap.org/way/320193259	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
484	located_on_h3_cell	891e3490627ffff	h3place	https://www.openstreetmap.org/way/257574118	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
485	located_on_h3_cell	891e3493063ffff	h3place	https://www.openstreetmap.org/way/210709757	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
486	hasOSMTag	primary	osmtag	891e3491ad3ffff	h3place	False	3.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
487	hasOSMTag	primary	osmtag	891e349367bffff	h3place	False	2.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
488	located_on_h3_cell	https://www.openstreetmap.org/way/314903860	osmplace	891e349065bffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
489	located_on_h3_cell	https://www.openstreetmap.org/way/360465047	osmplace	891f1a64013ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
490	located_on_h3_cell	https://www.openstreetmap.org/way/820204394	osmplace	891e349ad33ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
491	hasOSMTag	891e349a887ffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Stollberg) radius=15.0
