index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
621	hasOSMTag	891f02ba50bffff	h3place	primary	osmtag	False	4.0		Transport_NEG_aeroway around (Wismar) radius=15.0
622	hasOSMTag	industrial	osmtag	891f02a332fffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
623	located_on_h3_cell	891f02b136fffff	h3place	https://www.openstreetmap.org/node/4340535516	osmplace	False		6.0	Lifestyle_NEG_shop around (Wismar) radius=15.0
624	hasOSMTag	891f02b136fffff	h3place	fast_food	osmtag	False	1.0		Lifestyle_NEG_shop around (Wismar) radius=15.0
625	hasOSMTag	891f02a3017ffff	h3place	industrial	osmtag	False	2.0		Environment_NEG_geological around (Wismar) radius=15.0
626	located_on_h3_cell	https://www.openstreetmap.org/way/410338558	osmplace	891f02ba10bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
627	hasOSMTag	primary	osmtag	891f02b9073ffff	h3place	False	2.0		Transport_NEG_aeroway around (Wismar) radius=15.0
628	located_on_h3_cell	891f02a1c13ffff	h3place	https://www.openstreetmap.org/way/498807222	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
629	hasOSMTag	891f02bae3bffff	h3place	trunk	osmtag	False	3.0		Transport_NEG_aeroway around (Wismar) radius=15.0
630	located_on_h3_cell	891f02bae6bffff	h3place	https://www.openstreetmap.org/way/687172327	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
631	located_on_h3_cell	https://www.openstreetmap.org/way/314231666	osmplace	891f02b85a7ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
632	located_on_h3_cell	https://www.openstreetmap.org/way/925358001	osmplace	891f02842a7ffff	h3place	False		6.0	Lifestyle_NEG_shop around (Wismar) radius=15.0
633	located_on_h3_cell	https://www.openstreetmap.org/way/310902723	osmplace	891f02b0203ffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
634	located_on_h3_cell	https://www.openstreetmap.org/way/858740034	osmplace	891f02bae3bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
635	located_on_h3_cell	891f02bae3bffff	h3place	https://www.openstreetmap.org/way/858740035	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
