index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
228	hasOSMTag	equestrian	osmtag	891f03876abffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
229	located_on_h3_cell	https://www.openstreetmap.org/way/242401293	osmplace	891f0386803ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
230	hasOSMTag	golf	osmtag	891f038680bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	3.0
231	hasOSMTag	golf	osmtag	891f0386c6fffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
232	hasOSMTag	golf	osmtag	891f03b2a47ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
233	hasOSMTag	golf	osmtag	891f03b2a0bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	4.0
234	hasOSMTag	golf	osmtag	891f03868c3ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
235	hasOSMTag	891f0386383ffff	h3place	restaurant	osmtag	False		Lifestyle_POS_amenity around (Stralsund) radius=15.0	1.0
236	located_on_h3_cell	891f03b8413ffff	h3place	https://www.openstreetmap.org/way/74685161	osmplace	False	6.0	Services_POS_amenity around (Stralsund) radius=15.0	
237	hasOSMTag	891f038763bffff	h3place	milestone	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
238	hasOSMTag	restaurant	osmtag	891f038633bffff	h3place	False		Lifestyle_POS_amenity around (Stralsund) radius=15.0	1.0
239	hasOSMTag	dentist	osmtag	891f03b84cfffff	h3place	False		Services_POS_amenity around (Stralsund) radius=15.0	1.0
240	hasOSMTag	childcare	osmtag	891f0384907ffff	h3place	False		Services_POS_amenity around (Stralsund) radius=15.0	1.0
241	hasOSMTag	pitch	osmtag	891f0394dabffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
242	hasOSMTag	891f03b2a73ffff	h3place	pitch	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	3.0
243	hasOSMTag	pitch	osmtag	891f0386323ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
244	hasOSMTag	pitch	osmtag	891f0384903ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
245	hasOSMTag	pitch	osmtag	891f03baba3ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
246	hasOSMTag	pitch	osmtag	891f03b2a0bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	4.0
247	located_on_h3_cell	891f0386807ffff	h3place	https://www.openstreetmap.org/way/242375183	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
248	hasOSMTag	891f0386803ffff	h3place	pitch	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	5.0
249	hasOSMTag	pitch	osmtag	891f03868d3ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
250	hasOSMTag	891f03b0657ffff	h3place	platform	osmtag	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
251	hasOSMTag	pitch	osmtag	891f03b2a7bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
252	hasOSMTag	pitch	osmtag	891f0386807ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	5.0
253	located_on_h3_cell	891f03863afffff	h3place	https://www.openstreetmap.org/node/1999281926	osmplace	False	6.0	Services_POS_amenity around (Stralsund) radius=15.0	
254	hasOSMTag	pitch	osmtag	891f0386857ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
255	hasOSMTag	pitch	osmtag	891f03868abffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
256	hasOSMTag	pitch	osmtag	891f03b2a73ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	3.0
257	located_on_h3_cell	891f0148177ffff	h3place	https://www.openstreetmap.org/relation/12668942	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
258	hasOSMTag	pitch	osmtag	891f038744bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
259	hasOSMTag	891f0386393ffff	h3place	football	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
260	located_on_h3_cell	891f0386803ffff	h3place	https://www.openstreetmap.org/way/242401293	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
261	located_on_h3_cell	https://www.openstreetmap.org/node/2021945520	osmplace	891f038633bffff	h3place	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
262	located_on_h3_cell	891f0386837ffff	h3place	https://www.openstreetmap.org/way/242147368	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
263	located_on_h3_cell	https://www.openstreetmap.org/way/187171080	osmplace	891f0386397ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
264	hasOSMTag	891f03b8407ffff	h3place	pitch	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
265	located_on_h3_cell	891f03868d3ffff	h3place	https://www.openstreetmap.org/way/694094547	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
266	located_on_h3_cell	https://www.openstreetmap.org/way/694095100	osmplace	891f038681bffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
267	located_on_h3_cell	891f03b8413ffff	h3place	https://www.openstreetmap.org/way/74701582	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
268	located_on_h3_cell	https://www.openstreetmap.org/way/242403100	osmplace	891f0386817ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
269	located_on_h3_cell	https://www.openstreetmap.org/way/182163342	osmplace	891f038744bffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
270	located_on_h3_cell	https://www.openstreetmap.org/way/38903175	osmplace	891f0386393ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
271	located_on_h3_cell	https://www.openstreetmap.org/node/2021862234	osmplace	891f0386397ffff	h3place	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
272	located_on_h3_cell	https://www.openstreetmap.org/relation/7135400	osmplace	891f03959b7ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
