index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
631	located_on_h3_cell	891e349217bffff	h3place	https://www.openstreetmap.org/way/211775675	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
632	hasOSMTag	891e3490a37ffff	h3place	trunk	osmtag	False	1.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
633	hasOSMTag	891f1a2a863ffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Chemnitz) radius=15.0
634	hasOSMTag	891e3492e6bffff	h3place	fast_food	osmtag	False	1.0		Lifestyle_NEG_shop around (Chemnitz) radius=15.0
635	located_on_h3_cell	https://www.openstreetmap.org/way/950180468	osmplace	891e3492217ffff	h3place	False		6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0
636	located_on_h3_cell	891f1a2d553ffff	h3place	https://www.openstreetmap.org/way/218086187	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
637	hasOSMTag	891f1a28207ffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Chemnitz) radius=15.0
638	located_on_h3_cell	https://www.openstreetmap.org/way/289982688	osmplace	891e3492043ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
639	located_on_h3_cell	891e3490043ffff	h3place	https://www.openstreetmap.org/way/305903238	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
640	hasOSMTag	891e3490043ffff	h3place	erotic	osmtag	False	1.0		Lifestyle_NEG_shop around (Chemnitz) radius=15.0
641	located_on_h3_cell	891f1a2d54bffff	h3place	https://www.openstreetmap.org/way/218086185	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
642	located_on_h3_cell	891e3492a57ffff	h3place	https://www.openstreetmap.org/way/259089393	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
643	hasOSMTag	891e3492177ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
644	hasOSMTag	891e34923abffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
645	located_on_h3_cell	891e349217bffff	h3place	https://www.openstreetmap.org/way/216958935	osmplace	False		6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0
646	located_on_h3_cell	https://www.openstreetmap.org/way/277999420	osmplace	891e3482437ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
647	hasOSMTag	891f1a2c42bffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Chemnitz) radius=15.0
648	located_on_h3_cell	891e34900cbffff	h3place	https://www.openstreetmap.org/way/366661386	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
649	located_on_h3_cell	891e34923abffff	h3place	https://www.openstreetmap.org/node/2623958501	osmplace	False		6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0
650	located_on_h3_cell	https://www.openstreetmap.org/way/321579421	osmplace	891f1a2c297ffff	h3place	False		6.0	Environment_NEG_geological around (Chemnitz) radius=15.0
651	located_on_h3_cell	891f1a2dabbffff	h3place	https://www.openstreetmap.org/way/27615069	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
652	located_on_h3_cell	https://www.openstreetmap.org/way/288063538	osmplace	891e3492227ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
653	located_on_h3_cell	891e348268fffff	h3place	https://www.openstreetmap.org/way/22418474	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
654	hasOSMTag	891f1a2db47ffff	h3place	fast_food	osmtag	False	1.0		Lifestyle_NEG_shop around (Chemnitz) radius=15.0
655	hasOSMTag	891f1a28d7bffff	h3place	primary	osmtag	False	4.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
656	located_on_h3_cell	https://www.openstreetmap.org/way/277999422	osmplace	891e3482543ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
657	located_on_h3_cell	891f1a2dc63ffff	h3place	https://www.openstreetmap.org/way/858647637	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
658	located_on_h3_cell	891f1a2c377ffff	h3place	https://www.openstreetmap.org/way/313666317	osmplace	False		6.0	Environment_NEG_geological around (Chemnitz) radius=15.0
659	located_on_h3_cell	891e3490053ffff	h3place	https://www.openstreetmap.org/way/219105286	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
660	located_on_h3_cell	891e34931b7ffff	h3place	https://www.openstreetmap.org/way/31060518	osmplace	False		6.0	Environment_NEG_geological around (Chemnitz) radius=15.0
661	located_on_h3_cell	891f1a28d7bffff	h3place	https://www.openstreetmap.org/way/904488939	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
662	hasOSMTag	891e3491d87ffff	h3place	industrial	osmtag	False	2.0		Environment_NEG_geological around (Chemnitz) radius=15.0
663	located_on_h3_cell	891e34821d7ffff	h3place	https://www.openstreetmap.org/way/857535890	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
664	located_on_h3_cell	891f1a2dabbffff	h3place	https://www.openstreetmap.org/way/31023457	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
665	located_on_h3_cell	891f1a2d23bffff	h3place	https://www.openstreetmap.org/way/139985202	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
666	hasOSMTag	891e34931b7ffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Chemnitz) radius=15.0
667	located_on_h3_cell	891f1a28d7bffff	h3place	https://www.openstreetmap.org/way/230847122	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
668	located_on_h3_cell	891e3492307ffff	h3place	https://www.openstreetmap.org/way/682771206	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
669	located_on_h3_cell	891e34901cbffff	h3place	https://www.openstreetmap.org/way/259089394	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
670	located_on_h3_cell	891e3492397ffff	h3place	https://www.openstreetmap.org/way/334610416	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
671	located_on_h3_cell	891e34901abffff	h3place	https://www.openstreetmap.org/way/291868400	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
672	located_on_h3_cell	891e349217bffff	h3place	https://www.openstreetmap.org/way/256461414	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
673	hasOSMTag	891e34904d3ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
674	located_on_h3_cell	891e34905d7ffff	h3place	https://www.openstreetmap.org/way/136509392	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
675	hasOSMTag	891e349230bffff	h3place	primary	osmtag	False	17.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
676	located_on_h3_cell	891e3490053ffff	h3place	https://www.openstreetmap.org/way/257574111	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
677	hasOSMTag	891f1a2c377ffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Chemnitz) radius=15.0
678	located_on_h3_cell	891f1a28d47ffff	h3place	https://www.openstreetmap.org/way/231370540	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
679	hasOSMTag	891f1a2dc63ffff	h3place	primary	osmtag	False	2.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
680	located_on_h3_cell	891e349230bffff	h3place	https://www.openstreetmap.org/way/436625672	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
681	hasOSMTag	891e3492107ffff	h3place	primary	osmtag	False	3.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
682	located_on_h3_cell	891f1a28827ffff	h3place	https://www.openstreetmap.org/way/4549783	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
683	located_on_h3_cell	891e3497217ffff	h3place	https://www.openstreetmap.org/way/426553885	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
684	located_on_h3_cell	891e3497603ffff	h3place	https://www.openstreetmap.org/way/45781669	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
685	located_on_h3_cell	891e3490b0bffff	h3place	https://www.openstreetmap.org/way/502178696	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
686	located_on_h3_cell	891e34904a3ffff	h3place	https://www.openstreetmap.org/way/234019289	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
687	located_on_h3_cell	891e34904d3ffff	h3place	https://www.openstreetmap.org/way/259120849	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
688	hasOSMTag	891f1a2d3cbffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
689	located_on_h3_cell	891f1a2db4fffff	h3place	https://www.openstreetmap.org/way/505376426	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
690	hasOSMTag	891f1a28b6bffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
691	located_on_h3_cell	891f1a2db4fffff	h3place	https://www.openstreetmap.org/way/505376410	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
692	hasOSMTag	891e3490497ffff	h3place	primary	osmtag	False	4.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
693	located_on_h3_cell	891e3492693ffff	h3place	https://www.openstreetmap.org/way/320252426	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
694	located_on_h3_cell	891e349230bffff	h3place	https://www.openstreetmap.org/way/273525336	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
695	located_on_h3_cell	891e3482487ffff	h3place	https://www.openstreetmap.org/way/502178697	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
696	located_on_h3_cell	891e349214fffff	h3place	https://www.openstreetmap.org/way/256046476	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
697	located_on_h3_cell	891f1a2dabbffff	h3place	https://www.openstreetmap.org/way/42922628	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
698	hasOSMTag	891e349097bffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
699	located_on_h3_cell	891e349350bffff	h3place	https://www.openstreetmap.org/way/487492560	osmplace	False		6.0	Environment_NEG_geological around (Chemnitz) radius=15.0
700	hasOSMTag	891e349217bffff	h3place	fast_food	osmtag	False	1.0		Lifestyle_NEG_shop around (Chemnitz) radius=15.0
701	hasOSMTag	891e34972b3ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
702	located_on_h3_cell	891e3492687ffff	h3place	https://www.openstreetmap.org/way/305408250	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
703	located_on_h3_cell	891e34923abffff	h3place	https://www.openstreetmap.org/way/835014921	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
704	hasOSMTag	891f1a2daa3ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
705	hasOSMTag	891f1a2db2bffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
706	located_on_h3_cell	891e3492053ffff	h3place	https://www.openstreetmap.org/way/842127624	osmplace	False		6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0
707	located_on_h3_cell	891f1a2db2bffff	h3place	https://www.openstreetmap.org/way/471136907	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
708	hasOSMTag	industrial	osmtag	891e349210fffff	h3place	False	1.0		Environment_NEG_geological around (Chemnitz) radius=15.0
709	located_on_h3_cell	891e3492b23ffff	h3place	https://www.openstreetmap.org/way/379936142	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
710	located_on_h3_cell	891e349230bffff	h3place	https://www.openstreetmap.org/way/739923693	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
711	located_on_h3_cell	https://www.openstreetmap.org/way/738808073	osmplace	891e3492343ffff	h3place	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
712	hasOSMTag	891e34904a3ffff	h3place	primary	osmtag	False	3.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
713	hasOSMTag	891e34905cbffff	h3place	fast_food	osmtag	False	1.0		Lifestyle_NEG_shop around (Chemnitz) radius=15.0
714	located_on_h3_cell	891e3492363ffff	h3place	https://www.openstreetmap.org/way/736572584	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
715	hasOSMTag	891e34923abffff	h3place	fast_food	osmtag	False	1.0		Lifestyle_NEG_shop around (Chemnitz) radius=15.0
716	hasOSMTag	891e3490463ffff	h3place	primary	osmtag	False	2.0		Transport_NEG_aeroway around (Chemnitz) radius=15.0
717	located_on_h3_cell	891e3492ec7ffff	h3place	https://www.openstreetmap.org/node/3522496458	osmplace	False		6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0
718	located_on_h3_cell	891f1a2ab1bffff	h3place	https://www.openstreetmap.org/way/264689898	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
719	located_on_h3_cell	891f1a2ab1bffff	h3place	https://www.openstreetmap.org/way/264689905	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
720	located_on_h3_cell	891f1a2a853ffff	h3place	https://www.openstreetmap.org/way/362527641	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
721	located_on_h3_cell	891f1a2d843ffff	h3place	https://www.openstreetmap.org/way/802157669	osmplace	False		6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0
