index	Id	v_type	attributes.osmid	attributes.tagvalue	attributes.tagname	Lon	Lat	attributes.resolution	attributes.h3index	lat	lon
0	891f1a2c303ffff	h3place				13.05897	50.91497	9.0		50.91496809611528	13.058972365384417
1	891f1a2f393ffff	h3place				12.96561	50.93671	9.0		50.936710928141174	12.965610568812458
2	891f1a2d40fffff	h3place				12.95813	50.90595	9.0		50.90594503925516	12.958134479361727
3	891f1a2dedbffff	h3place				13.00977	50.87899	9.0		50.87899001032756	13.00977141025444
4	891f1a2d3cbffff	h3place				12.97795	50.87441	9.0		50.874409944606455	12.977950793489216
5	891f1a2c0c3ffff	h3place				13.02783	50.93316	9.0		50.933158247706096	13.027826754477369
6	891e3497553ffff	h3place				13.08678	50.84351	9.0		50.8435140976186	13.086783175172231
7	891f1a2d553ffff	h3place				12.97784	50.90722	9.0		50.907222300450684	12.97784375318437
8	891f1a281abffff	h3place				12.84056	50.92097	9.0		50.920967424860926	12.840563268994725
9	891f1a2995bffff	h3place				12.8405	50.86038	9.0		50.86038152045398	12.840500981735596
10	891f1a2ce4bffff	h3place				13.08174	50.90885	9.0		50.90885126145803	13.081741012784976
11	891f1a2803bffff	h3place				12.8065	50.91367	9.0		50.91367031305995	12.806496456136045
12	891e3492acbffff	h3place				12.96487	50.82051	9.0		50.82051447216017	12.964873637345493
13	891f1a280abffff	h3place				12.80609	50.91869	9.0		50.918689795518596	12.806088819796456
14	891f1a2802bffff	h3place				12.80916	50.91132	9.0		50.91132341984601	12.809162232089966
15	891e34900cbffff	h3place				12.91461	50.79955	9.0		50.79955278653402	12.914606637658236
16	891f1a2f177ffff	h3place				12.99253	50.94098	9.0		50.94097546261247	12.992526916865213
17	891e3492463ffff	h3place				12.89238	50.86126	9.0		50.861264207475834	12.892381060732129
18	891f1a293c7ffff	h3place				12.74395	50.86155	9.0		50.861551829954536	12.74394744475888
19	891f1a2aa6fffff	h3place				12.85494	50.92696	9.0		50.92696002181662	12.854935837779248
20	891f1a2d20bffff	h3place				12.95599	50.87046	9.0		50.87046117201211	12.955986830150563
21	891e3493117ffff	h3place				12.87857	50.81741	9.0		50.81741390954534	12.878572466265249
22	891e3490043ffff	h3place				12.91992	50.79484	9.0		50.79484414263446	12.919924259684697
23	891f1a29e43ffff	h3place				12.77654	50.85615	9.0		50.856147347583125	12.77653780349628
24	891f1a2d523ffff	h3place				13.00248	50.90881	9.0		50.908814308452115	13.002483381595942
25	891e3490317ffff	h3place				12.95023	50.7867	9.0		50.786704531204464	12.950230546811579
26	891e3490037ffff	h3place				12.94412	50.80148	9.0		50.80147537641494	12.944120502638185
27	891f1a29803ffff	h3place				12.82041	50.86411	9.0		50.86410598046507	12.820411224228609
28	891e3490543ffff	h3place				12.93575	50.81357	9.0		50.813568093660415	12.93574688282051
29	891e3482183ffff	h3place				13.06954	50.74634	9.0		50.746339376259044	13.06954224049603
30	891e34920c7ffff	h3place				12.90037	50.85421	9.0		50.85420995618127	12.900365869545752
31	891e349217bffff	h3place				12.94054	50.84673	9.0		50.84672673348887	12.940542581977157
32	891e349215bffff	h3place				12.92804	50.84844	9.0		50.84843868462474	12.928037471539144
33	891e34923a3ffff	h3place				12.93602	50.84138	9.0		50.841380044229204	12.936018288057584
34	891e3492ad3ffff	h3place				12.96448	50.82554	9.0		50.82554276379172	12.964477666656203
35	891f1a2c2cbffff	h3place				13.00968	50.9118	9.0		50.91180216866863	13.00967928061219
36	891f1a2da13ffff	h3place				13.04316	50.86346	9.0		50.86345924249467	13.043163095360017
37	891f1a29127ffff	h3place				12.78474	50.87689	9.0		50.87689219954898	12.784741562716123
